Problem,,,Constructive algorithm,,,,Local search,,,,,,,,GRASP,,,,,,,
Name,|V| or n,|E| or m,Randomized-1,Randomized-2,Simple Greedy,Semi-greedy,Local-1(Random1),,Local-1(Random2),,Local-3(semi-greedy),,Local-4(Greedy),,GRASP-1(Random1),,GRASP-2(Random2),,GRASP-3(semi-greedy),,GRASP-4(Greedy),
,,,,,,,No of iterations,Avg value,No of iterations,Avg value,No of iterations,Avg value,No of iterations,Avg value,No of iterations,Best value,No of iterations,Best value,No of iterations,Best value,No of iterations,Best value
G1,800,19176,9573.4,11032,11269,11150.7,606,11358,161,11354,105,11385,75,11395,20,11416,20,11417,20,11463,20,11457
G2,800,19176,9602.3,11022.7,11255.7,11171.1,610,11371,171,11380,120,11381,70,11397,20,11438,20,11440,20,11448,20,11424
G3,800,19176,9570.7,11047.2,11251,11201.5,631,11376,168,11358,134,11364,65,11400,20,11462,20,11426,20,11433,20,11494
G4,800,19176,9592,11027.5,11275.5,11205.8,616,11362,166,11367,108,11398,69,11412,20,11415,20,11429,20,11473,20,11492
G5,800,19176,9584.7,11004.2,11274.9,11164.4,626,11374,168,11375,114,11401,74,11412,20,11445,20,11498,20,11481,20,11466
G6,800,19176,97.2,1542.4,1748.3,1674.4,636,1923,166,1896,169,1922,90,1955,20,1985,20,1969,20,2009,20,2021
G7,800,19176,-54.8,1364.4,1601.6,1468.7,636,1757,161,1743,134,1746,89,1768,20,1846,20,1797,20,1810,20,1817
G8,800,19176,-99.7,1394.5,1587.5,1470,630,1756,176,1745,143,1746,83,1770,20,1819,20,1801,20,1794,20,1810
G9,800,19176,-53.9,1435.9,1649.6,1520.7,649,1824,163,1768,135,1821,89,1815,20,1865,20,1822,20,1867,20,1868
G10,800,19176,-71.4,1377.7,1614.6,1511.5,629,1757,176,1747,117,1750,84,1768,20,1891,20,1791,20,1800,20,1843
G11,800,1600,6.4,411,484.4,457.6,179,422,15,440,12,452,5,490,20,440,20,456,20,478,20,506
G12,800,1600,-2,400.6,472.4,428.2,188,417,16,434,11,461,7,484,20,432,20,446,20,484,20,496
G13,800,1600,19.6,418.6,491.8,459.4,187,435,17,454,13,472,6,510,20,456,20,468,20,510,20,534
G14,800,4694,2349.7,2858.9,2941.7,2924.8,263,2922,52,2936,27,2967,21,2972,20,2940,20,2947,20,2980,20,2979
G15,800,4661,2314.4,2847.6,2919.5,2910.1,268,2904,49,2916,25,2947,23,2955,20,2927,20,2936,20,2964,20,2975
G16,800,4672,2344.5,2854.5,2928.1,2918.6,264,2916,50,2919,25,2947,24,2962,20,2944,20,2933,20,2966,20,2987
